Unnamed: 0,nom,desc,accroche,visuel,producteur,contenance,deg_alcool,pays,region,appellation,millesime,accords,gout,caractere,couleur,temp_serv,type_produit,bio,prix,reco1,reco2,reco3,reco4,local_visuel
10,Sainte Croix - Rosé 2024,"Deacute;couvrez le nouveau milleacute;sime du Sainte Croix Roseacute; 2024, un roseacute; raffineacute; qui ceacute;legrave;bre l'harmonie parfaite entre terroir et moderniteacute;. Eacute;laboreacute; agrave; partir des ceacute;pages embleacute;matiques de la reacute;gion, ce vin reacute;vegrave;le une robe pacirc;le aux reflets scintillants, un veacute;ritable appel agrave; la gourmandise. Laissez-vous seacute;duire par l'esprit de convivialiteacute; et de leacute;gegrave;reteacute; de ce vin d'exception. Il sera parfait pour vos moments de partage sous le soleil ou lors de dicirc;ners eacute;leacute;gants.",Un éclat de fraîcheur et d'élégance.,95865-fine_default/sainte-croix-rose-2024.png,Château Sainte Croix,0.75,12.5,France,Provence-Alpes-Côte d'Azur,Var,2024,"['Apéritif', 'Entrée', 'Charcuterie', 'Poisson', 'Barbecue']","La bouche fraîche, tendre rappelant la meringue sur fond de fruits jaunes",Rosé d'apéritif,Rosé,8-12°C,Vin,,7.95,Studio by Miraval 2024,Miraflors 2024 - Domaine Lafage,Les Pieds dans l'Eau 2024 - Alma Cersius,Gris Blanc 2024 - Gérard Bertrand,images/00010.png
11,Studio by Miraval 2024,"Nichée au cœur de la Provence, la maison Miraval incarne l'excellence et lélégance des vins du sud de la France. Réputée pour ses rosés raffinés, elle allie savoir-faire ancestral et terroir d'exception pour créer des cuvées d'une finesse incomparable. Une robe pâle, une touche d'agrumes, des notes délicates de fleurs blanches et une finale iodée : bienvenue en Provence. Né de parcelles ensoleillées de la Côte dAzur, entourées doliviers et de pins parasols, Studio by Miraval tire son caractère unique des embruns marins et des sols salins, offrant une fraîcheur éclatante et une finale subtilement iodée. À déguster bien frais, en bonne compagnie.","La cuvée emblématique de la maison Miraval : un rosé à partager, symbole de convivialité.",98466-fine_default/studio-by-miraval-2024.png,Miraval,0.75,12.5,France,Provence-Alpes-Côte d'Azur,Méditerranée,2024,"['Apéritif', 'Entrée', 'Coquillage & Crustacé', 'Barbecue']","Bouche charnue avec des notes d'agrumes et de fleurs blanches, finale iodée.",Rosé d'apéritif,Rosé,8-10°C,Vin,,12.2,Sainte Croix - Rosé 2024,Miraflors 2024 - Domaine Lafage,Gris Blanc 2024 - Gérard Bertrand,Les Pieds dans l'Eau 2024 - Alma Cersius,images/00011.png
12,Appassimento Wrap Around 2024 - Wrap Around,"Le domaine Botter est un exemple dans le domaine de lœnologie italienne depuis 1928, offrant une large gamme de produits embrassant toutes les plus belles régions d'Italie. Riche en détails, complexe, aux saveurs enveloppantes, Rosso Passito Wrap Around 2024 est un rouge à la fois rond, intense et fruité, pour une finale longue et agréable. La bouche est parfaitement équilibrée entre ses tanins souples et sa légère acidité. Un vin typique, qui plaira à tous types de palais.","Une cuvée gourmande, fruitée, accessible, qui fait lunanimité !",99347-fine_default/appassimento-wrap-around-2024-wrap-around.png,Botter,0.75,14.5,Italie,Pouilles,Puglia,2024,"['Charcuterie', 'Viande rouge', 'Viande blanche', 'Champignon', 'Barbecue', 'Fromage', 'Dessert chocolaté']",Parfait équilibre entre des tanins souples et une légère acidité.,Rouge Charnu et fruité,Rouge,15-17°C,Vin,,8.5,N°7 - Rouge Merlot-Tannat 2024 - UBY,Grenache Syrah 2024 - Marius by M. Chapoutier,Côtes du Rhone 2024 - Yannick Alleno & M. Chapoutier,Belleruche Rouge 2024 - M. Chapoutier,images/00012.png
13,Morillon Blanc 2023 - Jeff Carrel,"La cuvée mono-cépage Morillon Blanc, élaborée à base de raisins botrytisés et vinifiée en sec, dévoile des arômes mûrs et expressifs sur des notes de fruits blancs comme la poire, la pêche, avec de légers arômes grillés. Ample, rond, dense avec une acidité équilibré, rafraîchissant, ce vin à l'excellent rapport qualité-prix s'accordera à perfection pour vos apéros estivaux ou accompagné d'un foie gras mi-cuit, d'une pintade aux champignons ou encore d'une tarte aux pommes. Une petite pépite !","Un 100 Chardonnay qui n'est que rondeur et gourmandise, un pêché mignon!",93686-fine_default/morillon-blanc-2023-jeff-carrel.png,Jeff Carrel,0.75,14.0,France,,Vin de France,2023,"['Apéritif', 'Poisson', 'Viande blanche', 'Fromage', 'Dessert fruité']","Ronde, ample, dense, grasse, acidité équilibré, fraïche, finement astringente, fruit bien mûr, pointe vanillée.",Blanc Sec souple et fruité,Blanc,10-12°C,Vin,,11.5,Chardonnay 2023 - Grande Réserve  - Maison Castel,Chardonnay Viognier 2023 - Auzias,Petit Chablis 2023 - Closerie des Alisiers,Mâcon Villages 2023 - Domaine des Côteaux Val Lamartinien - Closerie des Alisiers,images/00013.png
14,Gris Blanc 2024 - Gérard Bertrand,"La cuvée Gris Blanc est produite avec une qualité constante millésime après millésime : beaucoup de finesse et de vivacité dans ce rosé d'apéritif, particulièrement apprécié pour sa légèreté. Gris Blanc est l'une des cuvées qui a fait connaître les rosés du Languedoc au delà des frontières.",Le rosé iconique signé Gerard Bertrand : la référence incontournable des rosés du Languedoc !,95797-fine_default/gris-blanc-2024-gerard-bertrand.png,Gerard Bertrand,0.75,12.5,France,Languedoc-Roussillon,Pays d'Oc,2024,"['Apéritif', 'Poisson', 'Coquillage & Crustacé', 'Cuisine du monde']",Léger perlant qui donne au vin toute sa fraîcheur et exalte le fruit. Finale élégante qui se développe sur une note fraîche et minérale.,Rosé d'apéritif,Rosé,10-12°C,Vin,,10.9,Gourmandise 2024 -  Les Maitres Vignerons de la Presqu'île de Saint-Tropez,Moment de Plaisir 2024 - J.M Aujoux,Studio by Miraval 2024,Diables & Co Rosé 2024 - MIP Diffusion,images/00014.png
15,Gourmandise 2024 -  Les Maitres Vignerons de la Presqu'île de Saint-Tropez,"Le Gourmandise 2024 est le fruit des meilleures parcelles du terroir du Triangle d'Or des Côtes de Provence, situé au pied du Massif des Maures, là où sont apparues les premières vignes en Provence. Les cépages utilisés sont le Grenache et le Cinsault, qui apportent au vin sa complexité et son équilibre. Fraises et framboises s'unissent pour nous emporter dans un tourbillon de fruits rouges et de fraîcheur. Ce vin deviendra vite le compagnon de votre été et de vos repas estivaux.",Une autre cuvée incroyablement savoureuse des Vignerons de la Presqu'Île de Saint Tropez.,96412-fine_default/gourmandise-2024-les-maitres-vignerons-de-la-presqu-ile-de-saint-tropez.png,Les Maitres Vignerons de St Tropez,0.75,13.0,France,Provence-Alpes-Côte d'Azur,Méditerranée,2024,"['Apéritif', 'Poisson', 'Coquillage & Crustacé', 'Viande rouge', 'Viande blanche', 'Barbecue', 'Cuisine du monde']","Belle fraîcheur, fruité, finale agréable et acidulé",Rosé d'apéritif,Rosé,10-12°C,Vin,,6.9,Gris Blanc 2024 - Gérard Bertrand,Moment de Plaisir 2024 - J.M Aujoux,Diables & Co Rosé 2024 - MIP Diffusion,Studio by Miraval 2024,images/00015.png
16,Moment de Plaisir 2024 - J.M Aujoux,"Une cuvée qui porte de bien son nom, car c'est un vrai moment de plaisir que nous offre la dégustation. Très rapidement, cette cuvée s'est imposée comme un best seller, très appréciée par nos clients. Avec sa nouvelle étiquette élégante et innovante Laissez vous guider par le nageur qui devient bleu lorsque la bonne température fraîcheur de service PRET A BOIRE pour une dégustation optimale ! Rosé de partage, fruité et intense, il accompagnera vos apéritifs dinatoires, vos salades composées ou encore vos viandes grillées. Dans sa belle robe pétale de rose très claire.","Invitez les amis, servez l'apéritif, asseyez vous et surtout, prenez un ""Moment de Plaisir""...!",97593-fine_default/moment-de-plaisir-2024-jm-aujoux.png,Vins Aujoux,0.75,12.5,France,Languedoc-Roussillon,Pays d'Oc,2024,"['Apéritif', 'Entrée', 'Charcuterie', 'Coquillage & Crustacé', 'Viande blanche', 'Volaille', 'Fromage']",Belle finesse de beaux fruits rouges et de notes florales rafraîchissantes,Rosé d'apéritif,Rosé,8-12°C,Vin,,8.5,Gris Blanc 2024 - Gérard Bertrand,Diables & Co Rosé 2024 - MIP Diffusion,Gourmandise 2024 -  Les Maitres Vignerons de la Presqu'île de Saint-Tropez,L'Été Gascon Rosé 2024 - Domaine Pellehaut,images/00016.png
17,Passo Del Sud Negroamaro Primitivo 2023 - Tagaro,"Le Domaine Tagaro se situe dans les Pouilles, une région au sud de l'Italie, dans la ""botte"", où le climat est optimal pour la conservation des raisins et la création de cuvées d'exception. Passo Del Sud Negroamaro Primitivo est un vin rouge exprimant toute la richesse de cette terre. Intense et fruité à la fois, de douces notes confiturées viennent embaumer la dégustation vers une finale longue et légère. À déguster avec une sélection de fromages par exemple.","Tout le caractère des Pouilles, en bouteille !",91469-fine_default/passo-del-sud-negroamaro-primitivo-2023-tagaro.png,Tagaro,0.75,14.0,Italie,Pouilles,Puglia,2023,"['Apéritif', 'Entrée', 'Charcuterie', 'Viande rouge', 'Viande blanche', 'Volaille', 'Gibier', 'Champignon', 'Barbecue', 'Cuisine du monde', 'Fromage']",Bouche profonde et persistante aux tanins fins et équilibrés (mûre et myrtille).,Rouge Charnu et fruité,Rouge,15-17°C,Vin,,9.9,Les Darons 2023 - Jeff Carrel,Brouilly - Les Clochers 2023 - Vignerons de Bel Air,Bad Angel - Cabernet Sauvignon 2023 - Vignobles Vellas,Ylirum 2023 - Vega Demara,images/00017.png
18,Diables & Co Rosé 2024 - MIP Diffusion,"Le Diables Co Rosé 2024 est une expérience sensorielle unique. Sa qualité, son authenticité et son charme provençal en font un incontournable pour les amateurs de vins rosés haut de gamme. Le millésime 2024 est un rosé aux belles couleurs pâles qui rappelle les belles journées estivales. Il dévoile un nez très fin aux notes de petits fruits rouges. La bouche est savoureuse, avec une belle fraîcheur et beaucoup de fruit. C'est un vin agréable, idéal pour un apéritif d'été entre amis ou pour accompagner des repas légers.","Le Diables Co Rosé 2024 est l'expression d'un savoir-faire unique de la maison MIP Diffusion. Ce vin rosé d'exception illustre le mariage parfait entre tradition et innovation, et capture l'essence des terroirs provençaux.",95198-fine_default/diables-co-rose-2024-mip-diffusion.png,Domaine des Diables,0.75,13.0,France,Provence-Alpes-Côte d'Azur,Côtes de Provence,2024,"['Apéritif', 'Entrée', 'Barbecue', 'Cuisine du monde']","Fraîche et délicate, avec une belle vivacité et une finale minérale.",Rosé d'apéritif,Rosé,8-12°C,Vin,,9.9,L'Été Gascon Rosé 2024 - Domaine Pellehaut,Moment de Plaisir 2024 - J.M Aujoux,Gourmandise 2024 -  Les Maitres Vignerons de la Presqu'île de Saint-Tropez,Gris Blanc 2024 - Gérard Bertrand,images/00018.png
19,L'Été Gascon Rosé 2024 - Domaine Pellehaut,"Un vent de douceur souffle sur ce rosé léger et gourmand, véritable madeleine de Proust aux accents sucrés. Dès la première gorgée, il réveille des souvenirs denfance, entre bonbons aux coquelicots et guimauves fondantes. Son équilibre parfait entre tendresse et fraîcheur est sublimé par une touche de fleur doranger, avant de laisser place à une finale délicatement zestée. Complice des instants gourmands, il se déguste aussi bien à lapéritif quau dessert. Il saccorde à merveille avec un carré de chocolat noir pour une touche de gourmandise ou se marie avec élégance à la douceur dun melon estival accompagné dune chiffonnade de jambon.","Un rosé gourmand et réconfortant, comme un doux souvenir denfance à savourer en toute occasion.",97657-fine_default/l-ete-gascon-rose-2024-domaine-pellehaut.png,Domaine Pellehaut,0.75,10.5,France,Sud-Ouest,Côtes de Gascogne,2024,"['Apéritif', 'Entrée', 'Cuisine du monde', 'Fromage', 'Dessert chocolaté']","Fraîcheur, douceur, fruité",Rosé d'apéritif,Rosé,8-10°C,Vin,,9.55,Diables & Co Rosé 2024 - MIP Diffusion,Sunrose - Pays d'Oc 2024,Moment de Plaisir 2024 - J.M Aujoux,Gourmandise 2024 -  Les Maitres Vignerons de la Presqu'île de Saint-Tropez,images/00019.png
20,IGP Vaucluse Rouge - Xavier Vignon,"De l'association d'un terroir prometteur et du savoir-faire d'un vigneron hors normes est née cette cuvée plaisir, idéale à déguster entre amis autour d'un plateau de formages et de charcuterie ! Ronde, délicate, et dotée d'une matière profonde, la fraîcheur est aussi au rendez vous, et la finale se dévoile toute en élégance portée sur des notes de poivre et dépices douces. Un vin à apprécier entre amis, pour un plaisir garanti !","Cet IGP Vaucluse semble vouloir rivaliser avec les plus grands vins du Rhône méridional... Surprenant, élégant et imprévisible... du grand Vignon, au meilleur prix !",74609-fine_default/igp-vaucluse-rouge-xavier-vignon.png,Xavier Vignon,0.75,14.0,France,Rhône,Vaucluse,,"['Charcuterie', 'Viande rouge', 'Barbecue', 'Cuisine du monde', 'Fromage']","En bouche, il combine fraîcheur et gourmandise en gardant une belle minéralité. Un vin de plaisir avant tout",Rouge Elégant et racé,Rouge,13-14°C,Vin,,7.9,Côtes du Rhône 2020 - Xavier Vignon,Château Moulin Bellegrave 2022,Passo Del Sud Negroamaro Primitivo 2023 - Tagaro,Appassimento Wrap Around 2024 - Wrap Around,images/00020.png
21,Gros-Manseng & Sauvignon 2024 - Horgelus,"Une fois de plus, Horgelus nous livre un très beau vin. Ce duo de cépages Sauvignon Blanc et Gros Manseng séduira les papilles grâce à ses notes intenses de fruits exotiques et d'agrumes, soutenues par une subtile minéralité. De l'apéritif au dessert, cette cuvée accompagnera avec brio vos plats.",Horgelus signe encore un grand succès avec cette cuvée intense et savoureuse.,94493-fine_default/gros-manseng-sauvignon-2024-horgelus.png,Horgelus,0.75,12.0,France,Sud-Ouest,Côtes de Gascogne,2024,"['Apéritif', 'Entrée', 'Foie gras', 'Fromage', 'Dessert fruité']","Bouche franchement ronde et fraîche, finale nette",Blanc Sec très aromatique,Blanc,10°C,Vin,,6.95,N°2 - Chardonnay - Chenin Blanc  2024 - UBY,Le Pigeonnier Blanc 2024 - Cave de Pazac,L'Été Gascon Blanc 2024 - Domaine Pellehaut,N°3 - Colombard-Sauvignon Blanc 2024 - UBY,images/00021.png
22,Sunrose - Pays d'Oc 2024,"Au nez, ce rosé séduit par ses arômes délicats de petits fruits rouges, frais et gourmands. Sa bouche vive et harmonieuse exalte l'expression de son fruit. Sa texture élégante se prolonge sur une finale minérale, marquée par une fraîcheur agréable. À servir entre 10 et 12C, ce rosé sera le compagnon idéal d'un apéritif, de salades méditerranéennes, de poissons au four, ou encore de plats épicés comme un curry thaï, pour un accord metsvins raffiné et savoureux !","Découvrez ce rosé frais et croquant, qui allie harmonieusement équilibre et gourmandise.",98225-fine_default/sunrose-pays-d-oc-2024.png,Sunrose,0.75,11.5,France,Languedoc-Roussillon,Pays d'Oc,2024,"['Apéritif', 'Apéritif', 'Entrée', 'Entrée', 'Charcuterie', 'Charcuterie', 'Coquillage & Crustacé', 'Coquillage & Crustacé', 'Viande blanche', 'Viande blanche', 'Volaille', 'Volaille', 'Fromage', 'Fromage']","Belle finesse, notes de fruits rouges et de florales rafraîchissantes",Rosé d'apéritif,Rosé,8-12°C,Vin,,6.5,L'Été Gascon Rosé 2024 - Domaine Pellehaut,Minuty Prestige Rosé 2024,Diables & Co Rosé 2024 - MIP Diffusion,Rosé 2024 - Domaine la Rose des Vents,images/00022.png
23,Côtes du Rhône 2020 - Xavier Vignon,"C'est simple, cette cuvée a encore fait l'unanimité lors d'une dégustation à l'aveugle de plus d'une trentaine de vins de cette appellation ! Sur un millésime 2020 déjà très abouti, son fruité intense mêlé aux douces épices dans une parfaite et délicate harmonie nous a conquis. Une pépite à tout petit prix qui a séduit les dégustateurs les plus renommés et qui, Vinatis en est certain, sera encore un des Blockbusters de cette année !","C'est LE bestseller en Côtes du Rhône chaque millésime ! Ce 2020 sera sans aucun doute, encore et toujours, votre Coup de Cœur en Côtes du Rhône !",81253-fine_default/cotes-du-rhone-2020-xavier-vignon.png,Xavier Vignon,0.75,14.5,France,Rhône,Côtes du Rhône,2020,"['Charcuterie', 'Viande rouge', 'Viande blanche', 'Barbecue', 'Cuisine du monde', 'Fromage']","Bouche ample, fraîche et ronde avec des tanins fondus.",Rouge Léger et fruité,Rouge,16-18°C,Vin,,10.2,Château de Saint-Pey 2020,IGP Vaucluse - Vieux Clocher 2020 - Maison Arnoux & Fils,Montepulciano d'Abruzzo Riserva Terre della Brunda 2020 - Botter,Côtes du Rhône - Richette 2020 - Patrick Lesec,images/00023.png
24,Château Moulin Bellegrave 2022,"Château Moulin Bellegrave 2022, avec son incroyable rapport qualité-prix, est une valeur sûre ! Le nez révèle des fruits noirs intenses mélangés à des notes de truffe. Le vin présente une très belle structure en bouche avec de beaux tanins élégants. La matière est particulièrement dense et s'affirme largement sur une longue durée, la finale s'exprime dans une belle rétro-olfaction aromatique de fruits mûrs. A ce prix, il serait dommage de s'en priver !",Découvrez ce Saint-Émilion Grand Cru à petit prix qui n'a rien à envier aux grands vins du Bordelais !,101273-fine_default/chateau-moulin-bellegrave-2022.png,Château Moulin Bellegrave,0.75,14.0,France,Bordeaux,Saint-Emilion Grand Cru,2022,"['Charcuterie', 'Viande rouge', 'Viande blanche', 'Volaille', 'Gibier', 'Barbecue', 'Fromage', 'Dessert chocolaté']","Tanins mâchus, bouche épicée. Finale savoureuse et tannique, notes de vanille persistantes",Rouge Elégant et racé,Rouge,14-16°C,Vin,,17.9,Narassa 2022 - Domaine Lafage,Crozes-Hermitage - Nobles Rives 2022 - Cave de Tain,Château Beaumont - Les Pierrières 2022,Triplico Multiplo 2022 - Botter,images/00024.png
